Name Ship to,Ship to party,Total Cost,Min,Max
4100141984,4100141984,18.59,102.08,102.08
4100141951,4100141951,12.13,22.284,22.284
4100141939,4100141939,12.13,22.284,22.284
4100141928,4100141928,12.13,22.284,22.284
4100141536,4100141536,13.48,37.98,37.98
4100141530,4100141530,66.25,656.604,656.604
4100141529,4100141529,9.51,4.32,4.32
4100141130,4100141130,9.51,4.183,4.183
4100140642,4100140642,12.13,19.44,19.44
4100140636,4100140636,11.22,41.8,41.8
4100140619,4100140619,12.13,5.52,5.52
4100140176,4100140176,9.51,6.0,6.0
4100140169,4100140169,183.82,2037.886,2037.886
4100140156,4100140156,28.86,158.51,158.51
4100139643,4100139643,12.13,10.28,10.28
4100139636,4100139636,12.13,5.14,5.14
4100139225,4100139225,12.13,10.981,10.981
4100138908,4100138908,31.29,171.84,171.84
4100138893,4100138893,12.13,6.48,6.48
4100138454,4100138454,16.74,64.54,64.54
4100137993,4100137993,12.13,2.88,2.88
4100137629,4100137629,9.51,1.35,1.35
4100137628,4100137628,35.45,335.346,335.346
4100137596,4100137596,12.13,10.79,10.79
4100137586,4100137586,12.13,18.2,18.2
4100137172,4100137172,11.22,39.85,39.85
4100136764,4100136764,12.13,24.923,24.923
4100136220,4100136220,12.13,20.15,20.15
4100136217,4100136217,12.13,6.02,6.02
4100136213,4100136213,13.48,54.08,54.08
4100136212,4100136212,9.51,22.98,22.98
4100136194,4100136194,12.13,27.04,27.04
4100136193,4100136193,14.09,62.7,62.7
4100135713,4100135713,9.51,18.24,18.24
4100135712,4100135712,93.05,922.182,922.182
4100135695,4100135695,35.11,192.78,192.78
4100135284,4100135284,129.78,1356.076,1356.076
4100134575,4100134575,16.74,64.0,64.0
4100133507,4100133507,14.09,97.264,97.264
4100133501,4100133501,9.51,15.709,15.709
4100133484,4100133484,16.74,73.01,73.01
4100132967,4100132967,9.51,25.606,25.606
4100132636,4100132636,12.13,18.2,18.2
4100131377,4100131377,12.13,20.84,20.84
4100130949,4100130949,11.22,36.22,36.22
4100130948,4100130948,16.74,77.5,77.5
4100130945,4100130945,96.0,951.391,951.391
4100130403,4100130403,9.51,21.88,21.88
4100130004,4100130004,9.51,4.95,4.95
4100129475,4100129475,9.51,1.35,1.35
4100129474,4100129474,14.14,100.34,100.34
4100128979,4100128979,41.93,253.224,253.224
4100128975,4100128975,9.51,0.25,0.25
4100128974,4100128974,23.58,216.945,216.945
4100128149,4100128149,12.13,22.284,22.284
4100127678,4100127678,9.51,1.08,1.08
4100127102,4100127102,13.48,44.548,44.548
4100127092,4100127092,12.13,3.612,3.612
4100127073,4100127073,12.13,25.092,25.092
4100126699,4100126699,11.88,101.653,101.653
4100126564,4100126564,16.74,85.95,85.95
4100126550,4100126550,11.22,54.95,54.95
4100126545,4100126545,11.22,32.97,32.97
4100125653,4100125653,97.36,964.906,964.906
4100125282,4100125282,95.77,949.133,949.133
4100125192,4100125192,9.51,5.96,5.96
4100124684,4100124684,33.72,185.18,185.18
4100123486,4100123486,13.48,45.278,45.278
4100123483,4100123483,13.48,32.27,32.27
4100123449,4100123449,9.51,12.208,12.208
4100123009,4100123009,12.13,27.04,27.04
4100122655,4100122655,12.13,22.58,22.58
4100122620,4100122620,29.4,161.46,161.46
4100120964,4100120964,14.09,88.39,88.39
4100120961,4100120961,12.13,3.612,3.612
4100120931,4100120931,14.09,84.6,84.6
4100120908,4100120908,137.47,1524.101,1524.101
4100120478,4100120478,9.51,6.472,6.472
4100120058,4100120058,27.11,148.888,148.888
4100120026,4100120026,9.51,13.39,13.39
4100119562,4100119562,12.13,27.51,27.51
4100119228,4100119228,12.13,21.92,21.92
4100118795,4100118795,9.51,26.048,26.048
4100118778,4100118778,12.13,17.768,17.768
4100118333,4100118333,12.13,20.89,20.89
4100118315,4100118315,16.74,64.12,64.12
4100117922,4100117922,16.74,85.034,85.034
4100117881,4100117881,9.51,3.56,3.56
4100117084,4100117084,14.09,71.688,71.688
4100117080,4100117080,19.95,170.68,170.68
4100117057,4100117057,11.22,53.36,53.36
4100116584,4100116584,104.13,1088.095,1088.095
4100116581,4100116581,9.51,4.744,4.744
4100116572,4100116572,13.48,32.704,32.704
4100115562,4100115562,9.51,13.875,13.875
4100115557,4100115557,13.48,43.728,43.728
4100115128,4100115128,16.74,90.48,90.48
4100114663,4100114663,39.38,237.806,237.806
4100113573,4100113573,44.6,421.994,421.994
4100113571,4100113571,16.74,61.496,61.496
4100113183,4100113183,12.13,4.352,4.352
4100112746,4100112746,9.51,8.44,8.44
4100112745,4100112745,106.38,1111.56,1111.56
4100112730,4100112730,20.76,113.99,113.99
4100112718,4100112718,12.13,12.0,12.0
4100112707,4100112707,9.51,11.56,11.56
4100111955,4100111955,12.13,21.78,21.78
4100111950,4100111950,12.13,10.89,10.89
4100111654,4100111654,12.13,10.42,10.42
4100110811,4100110811,11.22,41.984,41.984
4100110783,4100110783,12.13,23.58,23.58
4100110755,4100110755,13.48,55.02,55.02
4100110749,4100110749,9.51,10.6,10.6
4100110734,4100110734,13.48,39.3,39.3
4100110247,4100110247,19.01,104.4,104.4
4100109628,4100109628,12.13,5.041,5.041
4100109226,4100109226,12.13,22.284,22.284
4100109224,4100109224,14.09,95.55,95.55
4100109220,4100109220,9.51,4.8,4.8
4100109217,4100109217,13.48,44.568,44.568
4100109207,4100109207,11.22,40.95,40.95
4100109202,4100109202,11.22,40.95,40.95
4100108428,4100108428,16.8,100.33,100.33
4100108418,4100108418,12.13,10.9,10.9
4100108409,4100108409,12.13,5.21,5.21
4100108398,4100108398,12.13,5.22,5.22
4100108031,4100108031,135.29,1413.69,1413.69
4100107147,4100107147,11.22,44.267,44.267
4100106671,4100106671,12.13,17.768,17.768
4100106655,4100106655,27.61,151.633,151.633
4100105021,4100105021,11.22,39.03,39.03
4100104591,4100104591,28.3,155.434,155.434
4100103584,4100103584,12.13,22.284,22.284
4100103244,4100103244,271.22,3279.585,3279.585
4100102780,4100102780,9.51,6.454,6.454
4100102465,4100102465,21.96,120.62,120.62
4100102445,4100102445,12.13,10.2,10.2
4100102432,4100102432,12.13,10.2,10.2
4100102098,4100102098,12.13,15.63,15.63
4100102096,4100102096,12.13,5.21,5.21
4100101830,4100101830,14.09,81.66,81.66
4100101326,4100101326,12.13,21.86,21.86
4100100942,4100100942,9.51,15.85,15.85
4100100545,4100100545,21.37,117.374,117.374
4100100540,4100100540,19.18,164.03,164.03
4100100528,4100100528,12.13,27.04,27.04
4100099345,4100099345,9.51,4.0,4.0
4100099344,4100099344,14.09,68.116,68.116
4100098906,4100098906,12.13,19.86,19.86
4100098871,4100098871,25.0,137.284,137.284
4100098835,4100098835,13.48,32.27,32.27
4100098819,4100098819,12.13,10.44,10.44
4100097968,4100097968,199.21,2208.592,2208.592
4100097219,4100097219,12.13,3.93,3.93
4100096815,4100096815,11.22,42.3,42.3
4100096444,4100096444,25.0,137.28,137.28
4100096424,4100096424,16.74,78.6,78.6
4100096421,4100096421,9.51,2.26,2.26
4100096102,4100096102,237.74,3516.889,3516.889
4100096101,4100096101,9.51,11.525,11.525
4100095262,4100095262,14.09,68.364,68.364
4100095247,4100095247,12.13,1.806,1.806
4100095237,4100095237,12.13,5.1,5.1
4100094818,4100094818,16.74,64.4,64.4
4100094790,4100094790,25.56,140.374,140.374
4100094429,4100094429,12.13,12.0,12.0
4100094070,4100094070,12.13,25.76,25.76
4100093311,4100093311,12.13,3.612,3.612
4100093302,4100093302,23.03,197.0,197.0
4100092891,4100092891,12.13,10.44,10.44
4100092887,4100092887,12.13,21.86,21.86
4100092873,4100092873,12.13,10.93,10.93
4100092517,4100092517,33.91,204.8,204.8
4100092497,4100092497,14.09,65.64,65.64
4100092083,4100092083,12.13,9.1,9.1
4100092057,4100092057,13.57,116.1,116.1
4100092052,4100092052,144.14,1597.977,1597.977
4100091668,4100091668,90.29,894.88,894.88
4100091667,4100091667,9.51,0.99,0.99
4100091200,4100091200,9.51,17.44,17.44
4100091167,4100091167,9.51,4.962,4.962
4100090493,4100090493,11.22,38.7,38.7
4100090249,4100090249,28.36,155.74,155.74
4100089579,4100089579,12.13,5.1,5.1
4100089575,4100089575,12.13,5.1,5.1
4100089496,4100089496,12.13,1.7,1.7
4100089275,4100089275,23.6,129.586,129.586
4100088454,4100088454,16.74,97.97,97.97
4100088165,4100088165,11.22,40.17,40.17
4100088151,4100088151,14.09,82.43,82.43
4100088146,4100088146,11.22,53.18,53.18
4100088138,4100088138,9.51,25.8,25.8
4100088127,4100088127,14.09,93.35,93.35
4100087478,4100087478,72.53,718.807,718.807
4100087476,4100087476,9.51,14.376,14.376
4100087450,4100087450,9.51,3.6,3.6
4100087447,4100087447,17.91,153.25,153.25
4100087010,4100087010,46.06,278.142,278.142
4100086999,4100086999,9.51,20.88,20.88
4100086995,4100086995,9.51,14.15,14.15
4100086994,4100086994,9.51,2.802,2.802
